"mode","test","sample","estimate","se","stat","p","tau","q","b0","b1","b2","b3","se0","se1","se2","se3"
"DL","z",0,-0.299704362011276,0.14219615243282,-2.10768264037854,0.0350584498809226,0,14.8114302346161,0.429213650708524,0.260892992754199,0.768728405244748,-0.881165760715507,0.0694126562412934,0.0690491195149677,0.235211833907951,0.0977336644448698
"DL","z",1,-0.0944953274233589,0.252716471677018,-0.373918355207681,0.708465059916481,0.223141350917879,55.1068422070783,0.85724863443882,-0.225852547781185,-0.136663129063565,0.315128279130217,0.123345681009624,0.122356199318552,0.421376390252658,0.176281543460277
"DL","z",2,0.735192261701475,0.260228267283857,2.82518217323227,0.00472537414237515,0.233024591553296,53.8121792453027,-0.239506686654278,0.87707255684986,0.301745229767233,0.0449615986761569,0.127037682519981,0.126024567141678,0.4338179770665,0.1813901724194
"DL","z",3,0.0907191524464104,0.237557700672224,0.381882600268061,0.702548446938257,0.160880076254432,41.6670781392728,1.00593007444251,-0.0789864555776079,-0.0875228119153178,0.629721010331797,0.116066674797442,0.115177698014444,0.395553134294509,0.164972901524607
"DL","z",4,0.389733112881061,0.268470721747509,1.45167826995897,0.146591084157089,0.234709276686693,49.498747744571,-0.0361140825331113,0.775593523072551,0.583908917243595,-0.469529757848464,0.131119199545656,0.130090965362059,0.447325852360386,0.186805259170588
"DL","z",5,-0.243974422695628,0.281786821629887,-0.865812039343972,0.386593245840358,0.263557642197856,51.0559384891778,0.456876165712114,-0.0607085174425999,0.690085057786095,0.808883118200097,0.137619809732581,0.136539552894229,0.469526710558114,0.196088756544302
"DL","z",6,0.0200259750407097,0.264235561912274,0.0757883416440304,0.93958749146824,0.201004841320238,42.2961245380484,-0.724782961638486,0.0158785605856877,0.252495678716005,0.651976269065122,0.129117528874522,0.128140182419053,0.439835943359681,0.183350044013495
"DL","adhoc",0,-0.299704362011276,0.14219615243282,-2.10768264037854,0.0478756543857175,0,14.8114302346161,0.429213650708524,0.260892992754199,0.768728405244748,-0.881165760715507,0.0694126562412934,0.0690491195149677,0.235211833907951,0.0977336644448698
"DL","adhoc",1,-0.0944953274233589,0.252716471677018,-0.373918355207681,0.712399670713705,0.223141350917879,55.1068422070783,0.85724863443882,-0.225852547781185,-0.136663129063565,0.315128279130217,0.123345681009624,0.122356199318552,0.421376390252658,0.176281543460277
"DL","adhoc",2,0.735192261701475,0.260228267283857,2.82518217323227,0.0104574445170029,0.233024591553296,53.8121792453027,-0.239506686654278,0.87707255684986,0.301745229767233,0.0449615986761569,0.127037682519981,0.126024567141678,0.4338179770665,0.1813901724194
"DL","adhoc",3,0.0907191524464104,0.247535549544085,0.366489389558382,0.7178484529089,0.160880076254432,41.6670781392728,1.00593007444251,-0.0789864555776079,-0.0875228119153178,0.629721010331797,0.120941683003496,0.120015367603538,0.412167074333555,0.171902058839681
"DL","adhoc",4,0.389733112881061,0.268470721747509,1.45167826995897,0.162097982473722,0.234709276686693,49.498747744571,-0.0361140825331113,0.775593523072551,0.583908917243595,-0.469529757848464,0.131119199545656,0.130090965362059,0.447325852360386,0.186805259170588
"DL","adhoc",5,-0.243974422695628,0.281786821629887,-0.865812039343972,0.396860878132421,0.263557642197856,51.0559384891778,0.456876165712114,-0.0607085174425999,0.690085057786095,0.808883118200097,0.137619809732581,0.136539552894229,0.469526710558114,0.196088756544302
"DL","adhoc",6,0.0200259750407097,0.264235561912274,0.0757883416440304,0.940340486192085,0.201004841320238,42.2961245380484,-0.724782961638486,0.0158785605856877,0.252495678716005,0.651976269065122,0.129117528874522,0.128140182419053,0.439835943359681,0.183350044013495
"PM","z",0,-0.299704362011276,0.14219615243282,-2.10768264037854,0.0350584498809226,0,14.8114302346161,0.429213650708524,0.260892992754199,0.768728405244748,-0.881165760715507,0.0694126562412934,0.0690491195149677,0.235211833907951,0.0977336644448698
"PM","z",1,-0.0944384334821539,0.251458722875817,-0.375562368257124,0.707242271772223,0.219677322043583,55.1068422070783,0.857637166697045,-0.225796021393294,-0.136706595768433,0.315021450134616,0.122735681647727,0.121751946148915,0.419267208303319,0.175384824881111
"PM","z",2,0.733291153273765,0.25727981811108,2.85016974381243,0.00436959025487728,0.224705851932296,53.8121792453027,-0.239390146725242,0.876817818352962,0.305020848310672,0.0449187953806961,0.125607246001074,0.12460783681351,0.428871174047012,0.179287367957707
"PM","z",3,0.0961223347752627,0.248695093810711,0.386506759350968,0.699121397576954,0.190143815476293,41.6670781392728,1.00605576303182,-0.0742194896969777,-0.0874908803559304,0.632981921471376,0.121479622248429,0.120534453040601,0.414280017115562,0.17292248192555
"PM","z",4,0.39151642230744,0.260645291625922,1.50210433445828,0.133070165654868,0.21226536696409,49.498747744571,-0.036171517859932,0.776471790921582,0.581820784734264,-0.470224881235055,0.127318503654181,0.12632860435369,0.434178000437302,0.181220714174235
"PM","z",5,-0.244785262750114,0.268480257216917,-0.911743996700439,0.361903497544966,0.223886929267651,51.0559384891778,0.452980167619615,-0.0598690572292228,0.693796564695761,0.809910384134946,0.131156325914055,0.13014155803933,0.447167053279365,0.186592349880536
